Full_Name,x0,y0,z0,xDot0,yDot0,zDot0,T,Stability_Index,Bifercates_to,lStar_km,tStar_days,mu,System,LagrangePoint,Family,Modifier,JacobiValue,Closest_Primary_Approach,Closest_Secondary_Approach
L1 - Lyapunov,0.8234,0,0,0,0.126231720161076,0,2.743,1180.5771,L1 -Halos,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Lyapunov,,3.17437327645455,0.8112494144,0.8112494144
L1 - Lyapunov,0.8189,0,0,0,0.174539931156505,0,2.7959,1045.0317,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Lyapunov,,3.16132085390017,0.8067494144,0.8067494144
L1 - Lyapunov,0.8089,0,0,0,0.283441496297335,0,3.0224,662.3978,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Lyapunov,,3.11608508997495,0.7967494144,0.7967494144
L1 - Lyapunov,0.7989,0,0,0,0.364616202601332,0,3.3638,387.9805,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Lyapunov,,3.06988313328937,0.7867494144,0.7867494144
L1 - Lyapunov,0.7889,0,0,0,0.415756794951217,0,3.7121,254.6194,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Lyapunov,,3.03804158622942,0.7767494144,0.7767494144
L1 - Lyapunov,0.7816,0,0,0,0.443111555190884,0,3.95,200.3471,L1 - Axials,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Lyapunov,,3.02144245882526,0.7694494144,0.7694494144
L1 - Lyapunov,0.7689,0,0,0,0.481161123326464,0,4.3317,144.2199,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Lyapunov,,3.00022123947965,0.7567494144,0.7567494144
L1 - Lyapunov,0.7589,0,0,0,0.50674348465786,0,4.6052,117.6505,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Lyapunov,,2.98762892596481,0.7467494144,0.7467494144
L1 - Lyapunov,0.7489,0,0,0,0.53039852212318,0,4.8579,99.3896,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Lyapunov,,2.97724380563391,0.7367494144,0.7367494144
L1 - Lyapunov,0.7389,0,0,0,0.553014895492329,0,5.0915,86.356,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Lyapunov,,2.96834287015534,0.7267494144,0.7267494144
L1 - Lyapunov,0.7289,0,0,0,0.57510366407358,0,5.3071,76.8352,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Lyapunov,,2.96047445395323,0.7167494144,0.7167494144
L1 - Lyapunov,0.7189,0,0,0,0.596976671655109,0,5.506,69.7938,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Lyapunov,,2.95333933954177,0.7067494144,0.7067494144
L1 - Lyapunov,0.7089,0,0,0,0.618832189570189,0,5.6891,64.5687,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Lyapunov,,2.94673074668802,0.6967494144,0.6967494144
L1 - Lyapunov,0.6989,0,0,0,0.64080103590831,0,5.8575,60.7141,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Lyapunov,,2.94050003346848,0.6867494144,0.6867494144
L1 - Lyapunov,0.6889,0,0,0,0.662971807864527,0,6.0121,57.9192,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Lyapunov,,2.93453740945174,0.6767494144,0.6767494144
L1 - Lyapunov,0.6789,0,0,0,0.685406150534592,0,6.1538,55.9615,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Lyapunov,,2.9287596525546,0.6667494144,0.6667494144
L1 - Lyapunov,0.6689,0,0,0,0.708148123868513,0,6.2836,54.6777,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Lyapunov,,2.92310228295806,0.6567494144,0.6567494144
